product_id,product_name,category,price
P0001,Lamp 1,Grocery,2618
P0002,Laptop 2,Toys,1765
P0003,Rice 3,Toys,2696
P0004,Lamp 4,Grocery,3234
P0005,Toothpaste 5,Clothing,3327
P0006,Notebook 6,Home Decor,2640
P0007,TV 7,Clothing,1126
P0008,Shampoo 8,Electronics,2337
P0009,Toothpaste 9,Clothing,525
P0010,Laptop 10,Personal Care,2886
P0011,Notebook 11,Home Decor,1239
P0012,Rice 12,Electronics,3675
P0013,Notebook 13,Electronics,3619
P0014,Toothpaste 14,Grocery,1277
P0015,Shoes 15,Books,4740
P0016,Rice 16,Toys,1918
P0017,Shirt 17,Clothing,1358
P0018,Phone 18,Clothing,2729
P0019,Doll 19,Toys,596
P0020,Shampoo 20,Toys,3200
P0021,Mug 21,Toys,1111
P0022,Shampoo 22,Electronics,554
P0023,Shirt 23,Electronics,1586
P0024,Notebook 24,Home Decor,988
P0025,Laptop 25,Personal Care,2796
P0026,TV 26,Clothing,2751
P0027,Laptop 27,Electronics,2795
P0028,Mug 28,Grocery,742
P0029,Pen 29,Electronics,2970
P0030,Doll 30,Personal Care,401
P0031,Shampoo 31,Clothing,902
P0032,Curtains 32,Books,3518
P0033,Doll 33,Clothing,851
P0034,Lamp 34,Electronics,1200
P0035,Phone 35,Toys,4686
P0036,Lamp 36,Books,2398
P0037,Toothpaste 37,Electronics,4459
P0038,Doll 38,Books,2503
P0039,TV 39,Books,1952
P0040,Shoes 40,Home Decor,596
P0041,Shampoo 41,Personal Care,308
P0042,Notebook 42,Electronics,1820
P0043,Doll 43,Clothing,4458
P0044,Doll 44,Clothing,2925
P0045,Phone 45,Grocery,1738
P0046,Shirt 46,Grocery,2669
P0047,Doll 47,Books,2421
P0048,Pen 48,Home Decor,3055
P0049,Shirt 49,Electronics,827
P0050,Mug 50,Grocery,3942
P0051,Shoes 51,Home Decor,3523
P0052,Laptop 52,Personal Care,3667
P0053,Notebook 53,Toys,1033
P0054,Notebook 54,Books,2280
P0055,Toothpaste 55,Home Decor,2840
P0056,Rice 56,Grocery,2100
P0057,TV 57,Books,4658
P0058,Shirt 58,Personal Care,3560
P0059,Bag 59,Personal Care,1739
P0060,Phone 60,Clothing,958
P0061,Phone 61,Electronics,3702
P0062,Toothpaste 62,Clothing,1242
P0063,Curtains 63,Electronics,3373
P0064,Mug 64,Books,469
P0065,Notebook 65,Home Decor,4102
P0066,Phone 66,Personal Care,3539
P0067,Bag 67,Books,4777
P0068,Curtains 68,Electronics,2784
P0069,Laptop 69,Toys,2310
P0070,TV 70,Home Decor,4600
P0071,Curtains 71,Grocery,682
P0072,Lamp 72,Clothing,3452
P0073,Doll 73,Clothing,4938
P0074,Shirt 74,Home Decor,1665
P0075,Bag 75,Home Decor,4230
P0076,TV 76,Toys,213
P0077,TV 77,Grocery,2974
P0078,TV 78,Toys,4754
P0079,Shoes 79,Toys,3008
P0080,Toothpaste 80,Electronics,4340
P0081,Shoes 81,Books,2195
P0082,TV 82,Toys,3751
P0083,TV 83,Clothing,1984
P0084,Shampoo 84,Home Decor,2969
P0085,Rice 85,Home Decor,2794
P0086,Notebook 86,Personal Care,3847
P0087,Toothpaste 87,Clothing,4940
P0088,Toothpaste 88,Home Decor,833
P0089,Pen 89,Home Decor,2636
P0090,Shoes 90,Home Decor,817
P0091,TV 91,Electronics,700
P0092,Mug 92,Grocery,2103
P0093,Shoes 93,Clothing,4066
P0094,Phone 94,Electronics,1818
P0095,Bag 95,Home Decor,2690
P0096,Phone 96,Home Decor,322
P0097,Bag 97,Home Decor,3464
P0098,TV 98,Books,3223
P0099,Pen 99,Personal Care,1633
P0100,Pen 100,Clothing,421
P0101,Notebook 101,Electronics,2308
P0102,Shoes 102,Clothing,4702
P0103,TV 103,Electronics,3035
P0104,Mug 104,Home Decor,2026
P0105,Bag 105,Grocery,3176
P0106,Notebook 106,Books,3587
P0107,Notebook 107,Clothing,981
P0108,Curtains 108,Electronics,3696
P0109,Bag 109,Personal Care,2255
P0110,Shampoo 110,Electronics,504
P0111,Doll 111,Toys,3701
P0112,Mug 112,Grocery,4469
P0113,Lamp 113,Electronics,1573
P0114,Toothpaste 114,Grocery,3797
P0115,Rice 115,Grocery,1466
P0116,Mug 116,Electronics,2964
P0117,Lamp 117,Electronics,1570
P0118,Notebook 118,Electronics,4895
P0119,Toothpaste 119,Electronics,1119
P0120,Doll 120,Grocery,4848
P0121,TV 121,Books,693
P0122,Doll 122,Clothing,87
P0123,Doll 123,Electronics,4402
P0124,Mug 124,Home Decor,1010
P0125,Pen 125,Books,2748
P0126,Shoes 126,Grocery,1616
P0127,Shirt 127,Personal Care,1360
P0128,Laptop 128,Grocery,3425
P0129,Pen 129,Books,2031
P0130,Doll 130,Home Decor,1518
P0131,Notebook 131,Home Decor,3231
P0132,Rice 132,Personal Care,2865
P0133,Mug 133,Electronics,2781
P0134,Phone 134,Electronics,2843
P0135,Curtains 135,Home Decor,612
P0136,Laptop 136,Clothing,1339
P0137,Curtains 137,Books,75
P0138,Bag 138,Personal Care,3986
P0139,Toothpaste 139,Electronics,495
P0140,Shampoo 140,Toys,3322
P0141,Shoes 141,Personal Care,4073
P0142,Toothpaste 142,Clothing,1129
P0143,Mug 143,Electronics,3699
P0144,Phone 144,Books,2608
P0145,Bag 145,Grocery,2929
P0146,Phone 146,Personal Care,4487
P0147,Bag 147,Clothing,3940
P0148,Doll 148,Grocery,2071
P0149,Bag 149,Grocery,850
P0150,Shirt 150,Personal Care,3375
P0151,Mug 151,Books,154
P0152,Lamp 152,Toys,3081
P0153,Notebook 153,Toys,1178
P0154,Curtains 154,Personal Care,4072
P0155,Mug 155,Grocery,2202
P0156,Curtains 156,Clothing,1034
P0157,Toothpaste 157,Clothing,3173
P0158,Phone 158,Personal Care,4194
P0159,Pen 159,Home Decor,4103
P0160,Shampoo 160,Home Decor,4777
P0161,TV 161,Clothing,1325
P0162,TV 162,Home Decor,4674
P0163,Laptop 163,Home Decor,1079
P0164,Pen 164,Books,2827
P0165,Lamp 165,Toys,2297
P0166,Notebook 166,Electronics,4745
P0167,Laptop 167,Electronics,287
P0168,Laptop 168,Personal Care,1019
P0169,TV 169,Grocery,2970
P0170,Phone 170,Electronics,4431
P0171,Shampoo 171,Personal Care,3062
P0172,Curtains 172,Electronics,488
P0173,Pen 173,Grocery,1765
P0174,Pen 174,Home Decor,1597
P0175,Doll 175,Home Decor,3856
P0176,Lamp 176,Home Decor,3593
P0177,Phone 177,Personal Care,293
P0178,Pen 178,Books,1512
P0179,Shampoo 179,Home Decor,2690
P0180,Notebook 180,Home Decor,790
P0181,TV 181,Clothing,3627
P0182,Curtains 182,Electronics,1745
P0183,Curtains 183,Electronics,1351
P0184,Pen 184,Grocery,3110
P0185,Rice 185,Grocery,3594
P0186,Shoes 186,Clothing,3899
P0187,Shoes 187,Electronics,3899
P0188,Curtains 188,Grocery,2995
P0189,TV 189,Electronics,1309
P0190,Shoes 190,Toys,2885
P0191,Shoes 191,Toys,2734
P0192,Shampoo 192,Toys,3257
P0193,Bag 193,Electronics,598
P0194,TV 194,Books,4875
P0195,Toothpaste 195,Personal Care,3574
P0196,Doll 196,Books,4853
P0197,Toothpaste 197,Books,1006
P0198,Pen 198,Electronics,567
P0199,Toothpaste 199,Personal Care,1351
P0200,Notebook 200,Home Decor,1455
P0201,Bag 201,Books,4918
P0202,TV 202,Grocery,4275
P0203,Notebook 203,Toys,4046
P0204,Rice 204,Home Decor,4438
P0205,Notebook 205,Clothing,1904
P0206,Pen 206,Books,767
P0207,Shirt 207,Clothing,1745
P0208,Doll 208,Grocery,2851
P0209,Mug 209,Grocery,2898
P0210,TV 210,Personal Care,2553
P0211,Notebook 211,Electronics,3669
P0212,Phone 212,Books,4706
P0213,Shampoo 213,Clothing,113
P0214,Bag 214,Electronics,4923
P0215,Shirt 215,Toys,4816
P0216,Bag 216,Toys,3027
P0217,Mug 217,Personal Care,94
P0218,Shoes 218,Home Decor,2273
P0219,Shirt 219,Home Decor,3034
P0220,Shirt 220,Grocery,1575
P0221,Curtains 221,Home Decor,1995
P0222,Toothpaste 222,Personal Care,4981
P0223,Notebook 223,Toys,3819
P0224,Lamp 224,Toys,4653
P0225,Phone 225,Home Decor,2434
P0226,Shoes 226,Books,721
P0227,Laptop 227,Toys,3275
P0228,TV 228,Grocery,3321
P0229,Lamp 229,Clothing,4914
P0230,Bag 230,Toys,2421
P0231,Pen 231,Toys,2147
P0232,Shampoo 232,Home Decor,3690
P0233,Doll 233,Home Decor,2826
P0234,Mug 234,Home Decor,3416
P0235,Shoes 235,Toys,634
P0236,Doll 236,Home Decor,1746
P0237,Phone 237,Toys,2854
P0238,Lamp 238,Toys,2515
P0239,Mug 239,Toys,4547
P0240,Rice 240,Books,1935
P0241,TV 241,Home Decor,3740
P0242,Curtains 242,Grocery,4412
P0243,Phone 243,Personal Care,1012
P0244,Bag 244,Personal Care,3224
P0245,Phone 245,Books,1826
P0246,Bag 246,Clothing,4235
P0247,Mug 247,Books,3142
P0248,Mug 248,Clothing,4364
P0249,Pen 249,Books,1362
P0250,Rice 250,Electronics,1388
P0251,Notebook 251,Books,235
P0252,Curtains 252,Clothing,3910
P0253,Shampoo 253,Grocery,191
P0254,Rice 254,Electronics,1169
P0255,Pen 255,Personal Care,2942
P0256,Shoes 256,Electronics,4478
P0257,Shirt 257,Books,2784
P0258,Pen 258,Personal Care,3594
P0259,Shirt 259,Books,4839
P0260,TV 260,Electronics,2097
P0261,Rice 261,Grocery,3357
P0262,Phone 262,Books,1401
P0263,Curtains 263,Personal Care,3954
P0264,Notebook 264,Clothing,4824
P0265,Lamp 265,Books,2856
P0266,Phone 266,Books,4150
P0267,Shampoo 267,Electronics,1038
P0268,TV 268,Clothing,3758
P0269,Bag 269,Home Decor,542
P0270,Rice 270,Home Decor,2047
P0271,Phone 271,Grocery,2510
P0272,Toothpaste 272,Home Decor,4157
P0273,Lamp 273,Clothing,4479
P0274,Shirt 274,Home Decor,1750
P0275,Shoes 275,Grocery,720
P0276,Shampoo 276,Grocery,2250
P0277,Laptop 277,Grocery,2577
P0278,Curtains 278,Toys,744
P0279,Toothpaste 279,Grocery,1787
P0280,Mug 280,Toys,4392
P0281,Curtains 281,Books,2078
