transaction_id,merchant_id,product_id,amount,transaction_date,payment_mode,card_type
TXN00001,M001,P0072,4828,11-02-2023,Cash,NA
TXN00002,M001,P4436,2991,09-08-2023,UPI,Amex
TXN00003,M003,P3935,3055,20-04-2023,Cash,Master
TXN00004,M002,P2972,1402,08-06-2023,Cash,Amex
TXN00005,M003,P4267,3541,14-07-2023,UPI,Amex
TXN00006,M003,P3163,3966,27-03-2023,Card,Amex
TXN00007,M001,P3413,542,09-02-2023,Cash,Amex
TXN00008,M001,P4595,123,13-10-2023,Cash,Visa
TXN00009,M001,P1612,3920,20-02-2023,Card,Master
TXN00010,M001,P2124,3139,12-11-2023,UPI,Amex
TXN00011,M001,P1664,1246,29-03-2023,UPI,NA
TXN00012,M002,P4882,1554,02-08-2023,Cash,Amex
TXN00013,M001,P4863,4878,15-06-2023,Card,Master
TXN00014,M001,P1754,4216,22-12-2023,UPI,Master
TXN00015,M002,P4643,2563,10-04-2023,Card,Master
TXN00016,M003,P1002,2458,03-01-2023,Cash,Master
TXN00017,M003,P3984,3765,14-09-2023,UPI,Visa
TXN00018,M001,P0016,1731,04-10-2023,Cash,Master
TXN00019,M002,P0608,587,15-07-2023,UPI,NA
TXN00020,M002,P3686,4109,17-09-2023,Cash,Visa
TXN00021,M002,P4610,1466,07-12-2023,UPI,Visa
TXN00022,M002,P1381,3339,30-03-2023,Cash,Amex
TXN00023,M002,P0004,173,08-04-2023,Card,NA
TXN00024,M002,P2460,2903,26-08-2023,Cash,Master
TXN00025,M003,P0241,4444,01-01-2024,UPI,Visa
TXN00026,M003,P3359,4346,27-11-2023,Cash,Master
TXN00027,M001,P1844,1490,02-09-2023,Cash,Visa
TXN00028,M001,P4401,1058,12-03-2023,Card,Visa
TXN00029,M002,P4750,4604,02-03-2023,UPI,Visa
TXN00030,M001,P0151,1809,30-08-2023,UPI,Master
TXN00031,M003,P2913,1574,17-04-2023,UPI,NA
TXN00032,M002,P4964,2670,21-12-2023,Cash,Visa
TXN00033,M002,P3936,2908,10-09-2023,Cash,NA
TXN00034,M003,P1256,3796,02-11-2023,UPI,Visa
TXN00035,M003,P0197,1554,12-10-2023,Card,Master
TXN00036,M002,P2339,530,05-02-2023,UPI,NA
TXN00037,M001,P2046,533,15-07-2023,Card,Visa
TXN00038,M002,P0072,139,11-11-2023,Card,Visa
TXN00039,M003,P3416,1782,22-03-2023,Cash,Visa
TXN00040,M001,P2443,3849,09-10-2023,Cash,NA
TXN00041,M001,P1140,1579,21-07-2023,UPI,Amex
TXN00042,M003,P1192,1176,04-07-2023,Cash,NA
TXN00043,M002,P1431,864,22-07-2023,UPI,Master
TXN00044,M002,P4125,1740,29-10-2023,Card,Master
TXN00045,M003,P1076,746,17-02-2023,Cash,Amex
TXN00046,M003,P4038,3342,19-09-2023,Cash,NA
TXN00047,M001,P3489,1942,30-10-2023,Cash,Visa
TXN00048,M002,P3528,4370,23-10-2023,Card,Amex
TXN00049,M003,P4244,3248,09-05-2023,Card,Master
TXN00050,M001,P0925,2216,17-04-2023,Cash,Visa
TXN00051,M002,P3653,560,10-11-2023,Card,Master
TXN00052,M003,P2451,4537,21-12-2023,Cash,Master
TXN00053,M003,P4563,3747,14-02-2023,Card,Visa
TXN00054,M001,P2890,220,14-07-2023,Card,Visa
TXN00055,M002,P1947,2101,10-04-2023,UPI,Visa
TXN00056,M002,P1777,782,20-12-2023,Card,NA
TXN00057,M002,P3067,2131,21-01-2023,UPI,Master
TXN00058,M003,P3108,3763,12-04-2023,Cash,Visa
TXN00059,M003,P0535,1563,20-03-2023,Card,Amex
TXN00060,M003,P3227,300,30-04-2023,Card,Visa
TXN00061,M003,P2870,270,30-09-2023,UPI,Visa
TXN00062,M002,P0252,4776,26-05-2023,UPI,Master
TXN00063,M001,P0478,1636,01-11-2023,Cash,Visa
TXN00064,M001,P2041,4842,20-04-2023,Cash,NA
TXN00065,M001,P1579,2717,15-10-2023,Card,NA
TXN00066,M001,P4454,4295,08-02-2023,UPI,Master
TXN00067,M002,P0916,2284,04-03-2023,Cash,Master
TXN00068,M001,P0100,1737,13-08-2023,UPI,Visa
TXN00069,M001,P1901,2084,17-07-2023,Cash,Master
TXN00070,M002,P1917,1556,08-07-2023,Card,NA
TXN00071,M003,P1830,768,18-07-2023,UPI,Master
TXN00072,M003,P1504,3295,15-08-2023,Cash,Amex
TXN00073,M003,P1592,3302,21-12-2023,UPI,NA
TXN00074,M001,P0639,4449,24-05-2023,Card,NA
TXN00075,M002,P0822,2908,20-03-2023,UPI,NA
TXN00076,M001,P1662,2621,31-08-2023,Cash,Amex
TXN00077,M001,P0047,4462,12-08-2023,Card,Master
TXN00078,M001,P2238,111,05-03-2023,Cash,Visa
TXN00079,M001,P3745,3998,20-05-2023,Cash,NA
TXN00080,M002,P3566,2654,06-01-2023,Cash,Master
TXN00081,M001,P1781,3497,30-12-2023,Cash,Visa
TXN00082,M003,P4377,1843,27-12-2023,UPI,Amex
TXN00083,M003,P4718,3928,25-08-2023,Card,NA
TXN00084,M003,P4895,2371,15-12-2023,UPI,Visa
TXN00085,M002,P3832,314,26-09-2023,UPI,Visa
TXN00086,M001,P1047,503,30-09-2023,Cash,NA
TXN00087,M002,P2857,4872,20-04-2023,UPI,NA
TXN00088,M002,P3128,4844,12-01-2023,Card,NA
TXN00089,M003,P2352,1941,05-06-2023,Cash,Visa
TXN00090,M001,P3447,1221,12-09-2023,Card,NA
TXN00091,M001,P0518,4312,04-04-2023,Card,NA
TXN00092,M001,P3189,4129,13-06-2023,UPI,Master
